Date,AAPL,JPM,JNJ,XOM,PG,CAT,NEE,AMZN,LIN,PLD
2019-06-05,1.5107027896534708,0.8931481615946424,0.6226762629375056,0.8324218572419161,0.4187156247482064,1.5682985414880666,0.15831480450237556,1.8606687706529077,0.786510936367902,0.6261778522385986
2019-06-06,1.511968212071028,0.8924280974672483,0.6260394622071264,0.8359132533803265,0.4193156633192826,1.5665464127650222,0.15946279332226126,1.8596640138141478,0.7908622766699903,0.6273130164103199
2019-06-07,1.520086557719474,0.8778866982815502,0.6271774738044181,0.8301263621975831,0.4223777038811087,1.5598320681048332,0.16330417878826697,1.869334512002331,0.7874992486185757,0.6271016643843619
2019-06-10,1.5211284842279724,0.8793408161761342,0.6273315229977527,0.8307079051833028,0.4222931949611621,1.5605956312074558,0.1620586633349211,1.8734935926491942,0.7863821652982996,0.626937927414064
2019-06-11,1.5225695980450116,0.8792542594635131,0.6267807317569765,0.8299109293944047,0.42019588757610665,1.561556242498571,0.1621204326012818,1.874603859237585,0.7867301207429022,0.627183982854657
2019-06-12,1.5227353908631704,0.880419778959098,0.6259038774646153,0.8309874461598667,0.41989856228147027,1.5611077981510901,0.16137972636131567,1.8746662165985053,0.7861353676200832,0.62685020539138
2019-06-13,1.5214734226427875,0.8807198056809177,0.6244153464012941,0.8325570988231741,0.42162331608491244,1.5598917209122942,0.1604863744265751,1.8745423124250715,0.7861428741847782,0.6287416483880429
2019-06-14,1.5214682913297386,0.880692091666214,0.6251982647066255,0.8314477447331636,0.4197296801365243,1.557708774175483,0.1593344218225537,1.8763035602887308,0.7855616920744211,0.6267929997737302
2019-06-17,1.5219255334047848,0.8824242182494857,0.625397152149078,0.8314625496795772,0.42047488385107074,1.558996754937634,0.15831685412350624,1.8759064664773075,0.7849109894929772,0.6270756147439851
2019-06-18,1.5249652883164302,0.8844168029054159,0.6250923391719478,0.8310680426501029,0.4140537446692451,1.5617514626170486,0.15557230630548993,1.8716008593592206,0.7865667236696919,0.6216492522224164
2019-06-19,1.5243543430959539,0.8837080858996015,0.6240137945559144,0.830561155899673,0.41254597699681017,1.5610312249365008,0.1563219935442653,1.8722169010096081,0.7831896902168083,0.623215363079126
2019-06-20,1.520016968753262,0.8810261755130393,0.6285794963286051,0.8346297882042374,0.4162468269634719,1.559145073922924,0.15844858384494104,1.8696966086930757,0.7801059829390111,0.6234614735352857
2019-06-21,1.5200172591564522,0.8814975637346028,0.6289792103506167,0.8338798989387939,0.41714887469660045,1.5590632556274908,0.1583198163743202,1.8694487536507352,0.780427024209282,0.623950682347083
2019-06-24,1.52101116506862,0.8834795733151956,0.627942662208219,0.8334385111935491,0.4188334880954143,1.5543064761686198,0.1592616454524643,1.869185713715819,0.7825169765135855,0.6248613270506453
2019-06-25,1.521711730787845,0.8846274626812641,0.621698496048446,0.8324134822436973,0.4193697752993696,1.5500872774185936,0.1626937717255057,1.8703733301491554,0.7802223492706,0.6267420758411172
2019-06-26,1.5237142633172942,0.8859310597641716,0.6262778565132012,0.8269842445520111,0.42590611964813685,1.5477756623683974,0.1721164843190942,1.8665285765727748,0.7741568719534753,0.6311369425956115
2019-06-27,1.522069502015275,0.8860211851680411,0.6249362152430753,0.8242539379086411,0.4254929564112389,1.5481823786245978,0.17289333781286267,1.8649441041124002,0.7733111327573816,0.6333075420326496
2019-06-28,1.5223805018265137,0.8880616012662292,0.6212432113069768,0.8335642186996656,0.4236816345931918,1.550071067775092,0.17603737728225524,1.860358476698307,0.7790575957728292,0.6385070063915438
2019-07-01,1.5249741141285782,0.8884648721464194,0.6200694637458869,0.8318063483378376,0.4244605736202271,1.5468688016003334,0.17642454839703572,1.8573611360534692,0.7799222635323766,0.634379513293847
